atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
124239,280,5,5,Henry Mosquera,21,10,7.2,0.0,14.91,3.78,0.0
116046,282,4,6,Vitor Graziani,21,0,1.0,0.0,1.5,0.0,0.0
72605,265,3,7,Vitor Hugo,21,15,6.33,-1.99,2.26,3.85,2.4
113154,282,2,6,Kauan,21,0,1.0,0.0,1.5,0.0,0.0
110055,263,4,6,Segovinha,21,15,4.68,-0.15,2.08,2.29,2.2
72497,285,4,5,Gustavo Campanharo,21,11,5.56,0.0,3.46,2.65,0.0
115248,275,4,6,Jhon Jhon,21,13,1.78,0.0,2.23,1.79,0.0
124340,1371,3,7,Allyson,21,5,4.29,0.0,4.43,3.46,0.0
93797,327,2,6,Marcinho,21,11,3.08,0.0,2.18,1.51,0.0
124249,282,2,6,Léo Santos,21,0,1.0,0.0,1.5,0.0,0.0
104521,356,4,6,Vinícius Zanocelo,21,6,3.32,0.0,0.43,0.68,0.0
116048,263,4,6,Raí,21,1,2.11,0.0,1.62,0.0,0.0
115025,277,4,6,Miguelito,21,2,1.57,0.0,1.86,1.25,0.0
111839,266,3,6,Felipe Andrade,21,5,0.99,-0.61,0.38,1.16,0.0
106434,280,3,5,Eduardo Santos,21,13,5.87,0.0,4.37,3.85,0.0
116461,294,2,7,Jamerson,21,19,6.39,-1.0,0.61,3.26,0.2
109404,293,5,6,Thiago Andrade,21,8,2.65,0.0,-3.38,0.73,0.0
107740,285,1,6,Emerson Júnior,21,0,1.0,0.0,1.5,0.0,0.0
89275,283,2,6,William,21,18,9.67,0.0,4.12,4.6,0.0
103014,280,5,6,Laquintana,21,2,3.67,0.0,0.74,1.75,0.0
115671,284,4,6,Mila,21,8,1.0,0.0,0.9,0.61,0.0
107801,284,3,6,Natã,21,1,0.75,0.0,1.5,0.2,0.0
111819,284,2,6,Thomas Luciano,21,6,5.46,0.0,-5.79,3.5,0.0
116282,294,4,6,Gabriel Silva,21,0,1.0,0.0,1.5,0.0,0.0
93702,277,2,6,Gabriel Inocêncio,21,16,7.25,0.0,4.17,4.0,0.0
118238,284,4,6,Ronald,21,4,1.13,0.0,-1.19,2.85,0.0
124358,294,2,6,João Vitor,21,0,1.0,0.0,1.5,0.0,0.0
123153,284,5,6,Zinho,21,7,3.45,0.0,0.66,1.8,0.0
73479,285,5,6,Jean Dias,21,10,3.14,0.0,0.77,2.23,0.0
123022,264,5,6,Pedro,21,5,1.48,0.0,0.28,1.3,0.0
108352,285,5,6,Gabriel Barros,21,2,2.08,0.0,-3.32,-0.65,0.0
91190,1371,2,6,PK,21,7,4.04,0.0,1.85,1.94,0.0
121830,263,5,6,Janderson,21,10,1.67,-0.05,1.45,1.17,1.4
107416,277,4,6,Luan Dias,21,8,2.02,0.0,-3.22,0.61,0.0
87603,327,1,6,Mateus Pasinato,21,10,3.03,0.0,1.01,2.6,0.0
37865,277,5,6,Bruno Mezenga,21,9,1.82,0.0,0.71,0.4,0.0
105911,285,4,6,Rômulo,21,11,3.85,0.0,2.44,3.96,0.0
123359,282,5,6,Cadu,21,1,0.95,0.0,1.67,1.2,0.0
122233,284,5,6,Ronald Barcellos,21,0,3.0,0.0,1.71,0.0,0.0
124247,282,5,6,Isaac,21,1,1.1,0.0,1.47,-0.3,0.0
123713,275,4,5,Luis Guilherme,21,12,2.36,0.0,1.95,1.82,0.0
110947,266,4,6,Gustavo Apis,21,0,2.0,0.0,1.61,0.0,0.0
104991,263,1,6,Igo Gabriel,21,0,1.0,0.0,1.5,0.0,0.0
121821,264,3,6,Murillo,21,13,2.83,0.0,2.08,2.67,0.0
118752,267,4,6,Mateus Carvalho,21,5,2.6,0.0,1.39,1.8,0.0
70800,262,6,7,Jorge Sampaoli,21,20,12.02,-0.1,4.43,5.56,5.17
122439,266,4,6,Isaac,21,4,0.85,-0.1,0.98,0.87,0.8
