atleta_id;atleta_apelido;posicao_id;clube_id;clube_nome
108946;Victor S�;5;263;Botafogo
109102;Daniel Martins;4;293;Athletico-PR
109114;Matheus Nascimento;5;263;Botafogo
109199;DG;2;263;Botafogo
109246;Kaw�;5;280;Bragantino
109347;Kennedy;1;356;Fortaleza
109389;Raul Gustavo;3;265;Bahia
109404;Thiago Andrade;5;293;Athletico-PR
109412;Ian Luccas;4;283;Cruzeiro
109461;Calebe;4;356;Fortaleza
109497;Marcos Leonardo;5;277;Santos
109563;Joaquim;3;277;Santos
109573;Martinelli;4;266;Fluminense
109639;Gabriel Novaes;5;290;Goiá
109668;Hugo;2;263;Botafogo
110055;Matías Segovi;4;263;Botafogo
110251;Gabriel Pereira;1;293;Athletico-PR
110506;Abel Ferreira;6;275;Palmeiras
110512;Lucas Besozzi;5;284;Grêmi
110602;Paulo Mazoti;1;277;Santos
110624;Mateus;1;275;Palmeiras
110632;Luiz Filipe;5;290;Goiá
110667;Machuca;5;356;Fortaleza
110668;Esquivel;2;293;Athletico-PR
110698;Mycael;1;293;Athletico-PR
110708;Pedro Rangel;1;266;Fluminense
110715;Andrés Hurtad;2;280;Bragantino
110727;Rubens;2;282;Atlético-M
110759;John Kennedy;5;266;Fluminense
110760;Biel;5;265;Bahia
110775;Marcã;1;294;Coritiba
110776;Orellano;4;267;Vasco
110818;Renato Paiva;6;265;Bahia
110909;Guilherme Lopes;2;280;Bragantino
110928;Lucã;5;290;Goiá
110947;Gustavo Apis;4;266;Fluminense
110962;Kayque;4;263;Botafogo
111017;Leo Fernánde;4;266;Fluminense
111172;Robson;1;327;América-M
111309;Gustavo Martins;3;284;Grêmi
111333;Sorriso;5;280;Bragantino
111408;Felipe Augusto;5;264;Corinthians
111428;Camilo Cándid;2;265;Bahia
111578;António Oliveir;6;1371;Cuiab�
111638;Robson;3;277;Santos
111652;Rodrigo Varanda;5;327;América-M
111682;Adson;4;264;Corinthians
111689;Bruno Guimarãe;1;356;Fortaleza
111690;Matheus Cunha;1;262;Flamengo
111694;Mateusã;5;262;Flamengo
111713;Lucas Mezenga;3;263;Botafogo
111760;Fabinho;4;275;Palmeiras
111761;Cadu;1;267;Vasco
111763;JP Galvã;4;263;Botafogo
111769;Marlon Gomes;4;267;Vasco
111819;Thomas Luciano;2;284;Grêmi
111829;Kayky;5;265;Bahia
111839;Felipe Andrade;3;266;Fluminense
111841;Arthur;4;266;Fluminense
111891;Guilherme Biro;4;264;Corinthians
111945;Diego Hernánde;4;263;Botafogo
111949;Quagliata;5;1371;Cuiab�
111996;Julián Palacio;4;290;Goiá
112136;Lucas Beraldo;3;276;São Paul
112140;Bitello;4;284;Grêmi
112367;Thalisson Gabriel;3;294;Coritiba
112370;Emerson Ramon;5;1371;Cuiab�
112616;Gabriel Grando;1;284;Grêmi
112709;Kaiki;2;283;Cruzeiro
112886;Lucas Barbosa;4;294;Coritiba
112913;Capasso;3;267;Vasco
112984;Werton;5;262;Flamengo
113103;Flaco Lópe;5;275;Palmeiras
113154;Kauan;2;282;Atlético-M
113157;Nathan Mendes;2;276;São Paul
113159;Michel;3;275;Palmeiras
113295;Júli;3;327;América-M
113359;Pablo Maia;4;276;São Paul
113384;Diogo Batista;2;294;Coritiba
113558;Bruninho;4;280;Bragantino
113663;Kevin;5;275;Palmeiras
113667;Ryan Luka;5;262;Flamengo
114174;André Lui;5;262;Flamengo
114497;Juan Tavares;2;1371;Cuiab�
114790;Cleiton;3;262;Flamengo
114802;Vitor Roque;5;293;Athletico-PR
114888;Luciano;4;280;Bragantino
114893;Peruchi;1;1371;Cuiab�
115025;Miguelito;4;277;Santos
115061;Thauan Lara;2;285;Internacional
115227;Caio;5;276;São Paul
115239;Wesley;2;262;Flamengo
115246;Naves;3;275;Palmeiras
115247;Kaique;1;275;Palmeiras
115248;Jhon Jhon;4;275;Palmeiras
115268;Rômul;3;282;Atlético-M
115273;Emersonn;5;293;Athletico-PR
115537;Marcos Victor;3;265;Bahia
115563;Rodriguinho;4;327;América-M
115671;Mila;4;284;Grêmi
115674;Gabriel Delfim;1;282;Atlético-M
115733;Zé Vito;3;267;Vasco
115734;Pimentel;3;267;Vasco
115870;Jonathan;2;280;Bragantino
115915;Lel�;5;266;Fluminense
115959;Endrick;5;275;Palmeiras
115986;Denilson;4;1371;Cuiab�
115997;Mateus Henrique;4;327;América-M
115998;Adyson;5;327;América-M
116000;Wallison;2;263;Botafogo
116012;Matheus Gonçalve;4;280;Bragantino
