atleta_id,clube_id,posicao_id,status_id,atleta_apelido,rodada_id,atleta_jogos,atleta_preco,atleta_variacao,atleta_min_val,media_num,atleta_pontos
125992,294,5,7,Diogo Oliveira,19,4,5.59,0.49,3.7,5.85,4.2
100333,327,5,7,Paulinho Bóia,19,3,2.94,0.0,0.63,0.8,0.0
92075,267,6,7,Ramón Díaz,19,4,7.83,-0.55,2.78,4.32,3.04
125804,266,2,6,Rafael Monteiro,19,0,1.0,0.0,1.5,0.0,0.0
96966,283,5,7,Arthur Gomes,19,3,6.44,-0.12,1.11,6.47,0.8
98517,277,4,7,Jean Lucas,19,4,6.95,-0.31,1.91,3.98,1.9
70944,285,4,6,Bruno Henrique,19,3,7.05,-0.86,1.34,2.7,1.2
111428,265,2,7,Camilo Cándido,19,3,4.7,-0.51,1.35,3.7,1.2
125926,293,4,6,Zapelli,19,2,3.61,0.0,0.86,0.6,0.0
83276,277,5,6,Julio Furch,19,3,4.39,0.3,2.12,0.93,2.3
102340,293,3,2,Cacá,19,1,2.96,0.0,2.1,2.7,0.0
94931,263,4,7,Lucas Fernandes,19,12,3.68,1.1,5.63,1.32,6.9
108131,294,5,6,Garcez,19,2,3.43,0.0,1.2,1.85,0.0
126182,267,4,7,Paulinho,19,3,5.19,1.08,3.31,3.4,5.5
126013,276,3,6,Ythallo,19,0,1.0,0.0,1.5,0.0,0.0
126010,280,4,6,Yani Quintero,19,1,2.13,0.0,2.0,2.6,0.0
117336,280,3,5,Cipriano,19,1,3.12,0.0,2.66,6.4,0.0
126095,263,1,6,Gabriel Toebe,19,0,1.0,0.0,1.5,0.0,0.0
70986,265,4,6,Léo Cittadini,19,7,1.7,0.21,1.13,0.5,1.0
84918,265,5,7,Rafael Ratão,19,3,7.85,-1.49,2.2,6.2,2.1
126116,284,5,6,Freddy,19,1,0.94,0.0,1.57,0.5,0.0
126117,284,5,6,Gustavo Gomes,19,0,1.0,0.0,1.5,0.0,0.0
96610,283,4,5,Matheus Pereira,19,2,5.88,0.0,3.85,2.2,0.0
126120,280,5,6,Marcelinho,19,0,1.0,0.0,1.5,0.0,0.0
86759,284,4,6,Luan,19,1,4.0,-1.0,1.28,1.2,1.2
98433,267,5,6,Sebastián Ferreira,19,2,5.65,0.0,1.63,1.85,0.0
108163,327,4,6,Javier Méndez,19,1,4.33,0.0,2.46,4.2,0.0
110667,356,5,7,Machuca,19,3,5.72,3.02,5.86,3.97,11.3
69063,276,4,7,James Rodríguez,19,1,11.44,-3.56,1.66,1.7,1.7
94444,290,5,6,Matheus Babi,19,3,4.71,-0.27,0.77,2.5,0.4
93372,277,3,7,João Basso,19,2,2.29,-1.09,-0.97,-0.35,-1.8
104811,294,4,6,Sebastián Gómez,19,2,4.34,0.84,3.25,1.75,3.8
105047,283,3,6,João Marcelo,19,0,3.0,0.0,1.71,0.0,0.0
93368,264,3,6,Lucas Veríssimo,19,0,11.0,0.0,2.56,0.0,0.0
126216,1371,5,6,Derik Lacerda,19,2,3.85,0.0,1.62,2.85,0.0
70164,276,5,7,Lucas Moura,19,2,14.39,2.56,7.42,9.0,12.5
124481,263,2,6,Mateo Ponte,19,0,4.0,0.0,0.37,0.0,0.0
69686,284,5,2,João Pedro Galvão,19,1,5.82,-1.18,1.96,2.1,2.1
92237,284,3,7,Rodrigo Ely,19,1,3.4,-0.6,1.43,1.4,1.4
100987,277,4,6,Nonato,19,0,5.0,0.0,1.92,0.0,0.0
102302,283,5,6,Rafael Elias,19,2,4.61,-0.24,1.63,2.6,1.6
94836,327,3,6,Burgos,19,1,1.77,0.0,1.41,-1.2,0.0
92207,284,1,6,Caíque,19,0,3.0,0.0,1.71,0.0,0.0
95220,267,2,6,Jefferson,19,0,4.0,0.0,1.82,0.0,0.0
104504,263,3,6,Henrique Vermudt,19,0,3.0,0.0,1.71,0.0,0.0
99198,267,5,7,Vegetti,19,2,11.03,2.23,5.69,10.45,10.7
81966,290,4,6,Raphael Guzzo,19,1,3.74,-0.26,2.19,2.4,2.4
73766,277,6,7,Diego Aguirre,19,1,8.24,-1.82,3.33,2.05,2.05
107645,327,6,7,Fabián Bustos,19,1,6.72,-0.84,2.54,2.75,2.75
92696,327,5,5,Renato Kayzer,19,0,5.0,0.0,1.92,0.0,0.0
110512,284,5,6,Lucas Besozzi,19,2,4.77,0.2,2.21,1.45,2.4
104360,280,3,6,Lucas Rafael,19,0,4.0,0.0,1.82,0.0,0.0
103684,293,3,6,Kaíque Rocha,19,2,4.13,0.0,5.54,4.8,0.0
117934,263,5,6,Adamo,19,0,3.0,0.0,1.71,0.0,0.0
120419,293,3,6,João Vitor,19,0,1.0,0.0,1.5,0.0,0.0
100034,294,3,6,Maurício Antônio,19,0,3.0,0.0,1.71,0.0,0.0
110624,275,1,6,Mateus,19,0,1.0,0.0,1.5,0.0,0.0
72775,293,4,7,Fernandinho,19,9,6.31,0.0,5.81,3.04,0.0
111638,277,3,6,Robson,19,0,3.0,0.0,0.37,0.0,0.0
121984,277,2,6,Pedrinho Scaramussa,19,0,1.0,0.0,0.37,0.0,0.0
87552,293,4,2,Vitor Bueno,19,14,7.01,0.0,-0.02,4.27,0.0
81798,267,5,6,Rossi,19,0,4.0,0.0,0.37,0.0,0.0
70316,263,5,6,Diego Costa,19,0,10.0,0.0,0.37,0.0,0.0
115247,275,1,6,Kaique,19,0,1.0,0.0,0.37,0.0,0.0
126387,266,3,6,Justen,19,0,1.0,0.0,0.37,0.0,0.0
91866,293,3,2,Zé Ivaldo,19,12,4.58,0.0,0.4,2.8,0.0
81551,285,2,6,Mallo,19,0,6.0,0.0,0.37,0.0,0.0
98022,293,4,7,Erick,19,14,7.09,0.0,2.8,4.84,0.0
101594,293,4,6,Hugo Moura,19,16,6.75,0.0,2.94,2.83,0.0
102928,293,5,7,Canobbio,19,14,6.37,0.0,1.87,4.43,0.0
110698,293,1,6,Mycael,19,0,3.0,0.0,1.71,0.0,0.0
