temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;30;266;2016_30_266;Fluminense;1;2;3;3;0;0;1
2016;30;276;2016_30_276;São Paulo;0;1;2;3;0;0;1
2016;30;284;2016_30_284;Grêmio;1;0;2;3;0;0;1
2016;31;263;2016_31_263;Botafogo;3;2;2;4;0;0;1
2016;31;283;2016_31_283;Cruzeiro;0;0;1;2;0;0;1
2016;31;293;2016_31_293;Athletico-PR;2;0;0;3;0;0;1
2016;31;285;2016_31_285;Internacional;2;1;3;1;0;0;1
2016;31;316;2016_31_316;Figueirense;1;2;4;3;0;0;1
2016;31;264;2016_31_264;Corinthians;2;0;2;1;0;0;1
2016;31;303;2016_31_303;Ponte Preta;3;0;0;2;0;0;1
2016;31;277;2016_31_277;Santos;1;1;1;7;0;0;1
2016;31;292;2016_31_292;Sport;1;0;1;4;0;1;1
2016;31;266;2016_31_266;Fluminense;1;2;1;4;0;0;1
2016;32;344;2016_32_344;Santa Cruz;0;1;0;2;0;0;1
2016;32;276;2016_32_276;São Paulo;2;0;0;1;0;0;1
2016;32;262;2016_32_262;Flamengo;2;2;2;4;0;1;1
2016;32;287;2016_32_287;Vitória;0;1;2;3;0;1;1
2016;32;275;2016_32_275;Palmeiras;2;1;3;2;0;0;1
2016;32;284;2016_32_284;Grêmio;0;0;0;2;1;1;1
2016;32;294;2016_32_294;Coritiba;1;1;0;4;1;0;1
2016;32;282;2016_32_282;Atlético-MG;3;0;2;4;0;2;1
2016;32;315;2016_32_315;Chapecoense;0;1;2;3;0;0;1
2016;32;327;2016_32_327;América-MG;1;0;0;0;0;0;1
2016;33;292;2016_33_292;Sport;1;0;2;3;0;0;1
2016;33;266;2016_33_266;Fluminense;2;2;3;2;0;0;1
2016;33;282;2016_33_282;Atlético-MG;2;2;0;1;0;0;1
2016;33;293;2016_33_293;Athletico-PR;1;0;1;1;0;0;1
2016;33;264;2016_33_264;Corinthians;1;1;1;2;0;0;1
2016;33;263;2016_33_263;Botafogo;0;0;5;3;0;0;1
2016;33;285;2016_33_285;Internacional;1;1;3;2;1;0;1
2016;33;316;2016_33_316;Figueirense;0;0;2;2;0;0;1
2016;33;277;2016_33_277;Santos;1;0;4;3;0;0;1
2016;33;327;2016_33_327;América-MG;1;0;0;1;0;0;1
2016;34;262;2016_34_262;Flamengo;0;0;3;3;0;0;1
2016;34;276;2016_34_276;São Paulo;4;0;3;4;0;0;1
2016;34;303;2016_34_303;Ponte Preta;1;2;1;1;0;0;1
2016;34;344;2016_34_344;Santa Cruz;1;0;1;1;0;0;1
2016;34;283;2016_34_283;Cruzeiro;4;2;2;1;0;0;1
2016;34;275;2016_34_275;Palmeiras;1;0;0;0;0;0;1
2016;34;287;2016_34_287;Vitória;3;2;2;2;0;0;1
2016;34;294;2016_34_294;Coritiba;2;0;1;3;0;0;1
2016;34;315;2016_34_315;Chapecoense;1;0;1;3;0;1;1
2016;34;284;2016_34_284;Grêmio;0;3;4;3;0;0;1
