temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;16;317;2015_16_317;Joinville;2;0;2;1;0;0;1
2015;16;285;2015_16_285;Internacional;0;0;3;2;0;0;1
2015;16;316;2015_16_316;Figueirense;3;1;2;3;0;0;1
2015;16;262;2015_16_262;Flamengo;2;2;4;2;0;0;1
2015;16;292;2015_16_292;Sport;0;0;1;2;0;0;1
2015;17;314;2015_17_314;Avaí;1;0;2;2;0;0;1
2015;17;277;2015_17_277;Santos;3;0;1;4;0;0;1
2015;17;293;2015_17_293;Athletico-PR;1;1;0;0;0;0;1
2015;17;267;2015_17_267;Vasco;0;0;2;4;0;0;1
2015;17;276;2015_17_276;São Paulo;1;1;4;2;0;1;1
2015;17;283;2015_17_283;Cruzeiro;2;1;4;3;0;0;1
2015;17;303;2015_17_303;Ponte Preta;1;0;2;4;0;0;1
2015;17;290;2015_17_290;Goiás;0;0;2;2;0;0;1
2015;17;284;2015_17_284;Grêmio;5;0;2;4;0;0;1
2015;17;315;2015_17_315;Chapecoense;2;2;1;1;0;0;1
2015;18;294;2015_18_294;Coritiba;2;1;3;1;0;0;1
2015;18;262;2015_18_262;Flamengo;3;2;2;4;0;1;1
2015;18;277;2015_18_277;Santos;1;0;3;5;0;1;1
2015;18;290;2015_18_290;Goiás;0;0;1;3;0;0;1
2015;18;316;2015_18_316;Figueirense;0;2;3;4;0;1;1
2015;18;285;2015_18_285;Internacional;1;0;6;4;0;2;1
2015;18;264;2015_18_264;Corinthians;4;3;2;1;0;0;1
2015;18;303;2015_18_303;Ponte Preta;2;0;1;1;0;0;1
2015;18;317;2015_18_317;Joinville;3;0;1;2;0;0;1
2015;18;282;2015_18_282;Atlético-MG;0;2;2;3;0;0;1
2015;19;267;2015_19_267;Vasco;0;1;3;1;0;0;1
2015;19;293;2015_19_293;Athletico-PR;0;0;2;1;1;0;1
2015;19;276;2015_19_276;São Paulo;0;3;1;0;0;0;1
2015;19;275;2015_19_275;Palmeiras;4;2;2;2;0;0;1
2015;19;314;2015_19_314;Avaí;1;2;0;1;0;0;1
2015;19;266;2015_19_266;Fluminense;2;1;1;2;0;1;1
2015;19;283;2015_19_283;Cruzeiro;0;0;2;2;0;0;1
2015;19;292;2015_19_292;Sport;1;1;0;0;0;0;1
2015;19;284;2015_19_284;Grêmio;2;1;1;0;0;0;1
2015;19;315;2015_19_315;Chapecoense;2;1;4;3;0;1;1
