temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;19;2018_19_283;283;Cruzeiro;1;1;2;2;0;0;1
2018;19;2018_19_327;327;América-MG;0;0;2;0;1;0;1
2018;19;2018_19_276;276;São Paulo;2;0;2;1;0;0;1
2018;19;2018_19_267;267;Vasco;1;1;1;1;0;1;1
2018;21;2018_21_277;277;Santos;2;0;1;2;0;0;1
2018;21;2018_21_264;264;Corinthians;1;0;3;4;0;1;1
2018;21;2018_21_293;293;Athletico-PR;2;1;2;2;0;0;1
2018;21;2018_21_283;283;Cruzeiro;2;1;4;3;0;0;1
2018;21;2018_21_263;263;Botafogo;2;0;2;2;0;0;1
2018;21;2018_21_276;276;São Paulo;1;0;3;6;0;1;1
2018;21;2018_21_327;327;América-MG;2;2;3;2;0;1;1
2018;21;2018_21_285;285;Internacional;0;0;2;3;0;0;1
2018;21;2018_21_287;287;Vitória;1;0;2;3;0;0;1
2018;21;2018_21_267;267;Vasco;3;1;3;2;0;0;1
2018;22;2018_22_287;287;Vitória;1;0;5;1;0;1;1
2018;22;2018_22_284;284;Grêmio;4;0;2;3;0;0;1
2018;22;2018_22_267;267;Vasco;0;3;1;1;0;0;1
2018;22;2018_22_264;264;Corinthians;1;1;1;3;0;0;1
2018;22;2018_22_262;262;Flamengo;0;1;2;2;0;0;1
2018;22;2018_22_293;293;Athletico-PR;2;0;2;2;0;0;1
2018;22;2018_22_292;292;Sport;1;0;3;2;0;0;1
2018;22;2018_22_276;276;São Paulo;1;1;2;2;1;0;1
2018;22;2018_22_283;283;Cruzeiro;0;0;3;2;0;0;1
2018;22;2018_22_315;315;Chapecoense;1;2;4;4;0;0;1
2018;23;2018_23_265;265;Bahia;2;0;1;1;0;0;1
2018;23;2018_23_263;263;Botafogo;1;1;3;3;0;0;1
2018;23;2018_23_366;366;Ceará;2;1;6;2;0;0;1
2018;23;2018_23_275;275;Palmeiras;2;0;2;3;0;0;1
2018;23;2018_23_383;383;Paraná;1;1;2;2;0;0;1
2018;23;2018_23_282;282;Atlético-MG;1;0;3;1;0;0;1
2018;23;2018_23_285;285;Internacional;2;1;4;1;0;0;1
2018;23;2018_23_277;277;Santos;0;0;2;1;0;0;1
2018;23;2018_23_266;266;Fluminense;0;0;1;1;0;0;1
2018;23;2018_23_327;327;América-MG;2;1;1;1;0;0;1
2018;24;2018_24_292;292;Sport;0;0;3;1;0;0;1
2018;24;2018_24_276;276;São Paulo;1;0;3;2;0;0;1
2018;24;2018_24_262;262;Flamengo;2;0;2;2;0;0;1
2018;24;2018_24_327;327;América-MG;0;0;1;1;0;0;1
2018;24;2018_24_275;275;Palmeiras;1;0;2;3;0;0;1
2018;24;2018_24_266;266;Fluminense;1;0;3;4;0;0;1
2018;24;2018_24_285;285;Internacional;1;0;5;5;0;0;1
2018;24;2018_24_383;383;Paraná;0;2;4;3;0;0;1
2018;24;2018_24_287;287;Vitória;1;0;4;1;1;1;1
2018;24;2018_24_282;282;Atlético-MG;3;1;4;5;0;1;1
2018;25;2018_25_366;366;Ceará;2;0;2;4;0;0;1
2018;25;2018_25_284;284;Grêmio;2;0;1;1;0;0;1
2018;25;2018_25_267;267;Vasco;1;1;3;2;0;1;1
2018;25;2018_25_263;263;Botafogo;1;0;1;1;1;1;1
2018;25;2018_25_283;283;Cruzeiro;0;0;3;1;0;0;1
2018;25;2018_25_265;265;Bahia;1;1;1;2;0;0;1
2018;25;2018_25_293;293;Athletico-PR;3;1;3;2;0;0;1
2018;25;2018_25_277;277;Santos;0;0;7;4;0;0;1
2018;25;2018_25_264;264;Corinthians;2;1;2;1;0;0;1
2018;25;2018_25_315;315;Chapecoense;2;1;4;3;0;1;1
2018;26;2018_26_276;276;São Paulo;1;1;1;1;0;0;1
2018;26;2018_26_284;284;Grêmio;3;2;3;1;0;0;1
2018;26;2018_26_293;293;Athletico-PR;3;0;0;4;0;0;1
2018;26;2018_26_262;262;Flamengo;2;1;2;2;0;0;1
2018;26;2018_26_264;264;Corinthians;1;1;0;2;0;0;1
2018;26;2018_26_292;292;Sport;0;1;2;2;0;0;1
2018;26;2018_26_287;287;Vitória;3;4;1;4;0;0;1
2018;26;2018_26_283;283;Cruzeiro;2;1;2;2;0;0;1
2018;26;2018_26_315;315;Chapecoense;1;2;3;3;1;0;1
2018;26;2018_26_267;267;Vasco;2;1;5;2;0;1;1
2018;27;2018_27_266;266;Fluminense;0;1;1;2;0;0;1
2018;27;2018_27_327;327;América-MG;0;0;0;1;0;0;1
2018;27;2018_27_265;265;Bahia;0;0;2;1;0;0;1
2018;27;2018_27_275;275;Palmeiras;3;1;5;6;0;0;1
2018;27;2018_27_282;282;Atlético-MG;5;2;1;4;0;1;1
2018;27;2018_27_277;277;Santos;1;0;2;6;0;0;1
2018;27;2018_27_263;263;Botafogo;2;2;1;2;0;0;1
2018;27;2018_27_285;285;Internacional;2;1;3;6;0;1;1
2018;27;2018_27_366;366;Ceará;3;1;4;5;0;0;1
2018;27;2018_27_383;383;Paraná;1;1;1;0;0;1;1
2018;28;2018_28_292;292;Sport;2;1;4;1;0;0;1
2018;28;2018_28_264;264;Corinthians;0;3;2;1;0;0;1
2018;28;2018_28_287;287;Vitória;0;1;3;2;1;0;1
2018;28;2018_28_293;293;Athletico-PR;4;0;3;3;0;0;1
2018;28;2018_28_315;315;Chapecoense;1;0;3;3;0;0;1
2018;28;2018_28_276;276;São Paulo;0;2;2;3;0;0;1
2018;28;2018_28_284;284;Grêmio;2;2;2;4;0;1;1
2018;28;2018_28_266;266;Fluminense;4;0;1;2;0;0;1
2018;28;2018_28_263;263;Botafogo;1;1;3;2;0;0;1
2018;28;2018_28_283;283;Cruzeiro;0;2;1;3;0;0;1
2018;29;2018_29_262;262;Flamengo;3;0;2;3;0;0;1
2018;29;2018_29_277;277;Santos;1;0;3;3;0;0;1
2018;29;2018_29_265;265;Bahia;2;0;3;3;0;0;1
2018;29;2018_29_315;315;Chapecoense;0;1;3;2;0;0;1
2018;29;2018_29_267;267;Vasco;2;0;6;2;0;1;1
2018;29;2018_29_285;285;Internacional;3;1;0;4;0;1;1
2018;29;2018_29_275;275;Palmeiras;2;0;4;2;0;0;1
2018;29;2018_29_282;282;Atlético-MG;0;0;1;0;0;0;1
2018;29;2018_29_293;293;Athletico-PR;4;0;0;3;0;0;1
2018;29;2018_29_366;366;Ceará;0;0;1;3;0;0;1
2018;30;2018_30_327;327;América-MG;1;1;0;0;0;0;1
2018;30;2018_30_263;263;Botafogo;0;1;2;1;0;0;1
2018;30;2018_30_276;276;São Paulo;0;0;3;2;0;0;1
2018;30;2018_30_292;292;Sport;2;1;0;3;0;0;1
2018;30;2018_30_287;287;Vitória;2;2;1;4;0;0;1
2018;30;2018_30_266;266;Fluminense;1;0;2;2;1;0;1
2018;30;2018_30_275;275;Palmeiras;2;1;5;2;1;0;1
2018;30;2018_30_283;283;Cruzeiro;3;0;2;1;0;0;1
2018;30;2018_30_383;383;Paraná;0;4;1;0;1;0;1
2018;30;2018_30_285;285;Internacional;2;2;1;3;0;0;1
2018;31;2018_31_287;287;Vitória;0;1;1;2;0;1;1
2018;31;2018_31_267;267;Vasco;1;1;3;5;0;1;1
2018;31;2018_31_277;277;Santos;3;0;2;3;0;0;1
2018;31;2018_31_284;284;Grêmio;3;4;2;2;0;0;1
2018;31;2018_31_264;264;Corinthians;2;1;3;3;0;0;1
2018;31;2018_31_315;315;Chapecoense;1;0;3;4;0;0;1
2018;31;2018_31_262;262;Flamengo;1;1;2;5;0;0;1
2018;31;2018_31_283;283;Cruzeiro;3;1;0;2;0;0;1
2018;31;2018_31_293;293;Athletico-PR;2;1;2;5;0;0;1
2018;31;2018_31_366;366;Ceará;2;1;2;4;0;0;1
