temporada_id;rodada_id;partida_id;clube_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2022;33;2022_33_327;327;América-MG;1;2;1;1;0;0;1
2022;33;2022_33_277;277;Santos;0;1;2;4;1;1;1
2022;33;2022_33_275;275;Palmeiras;3;0;2;2;0;0;1
2022;33;2022_33_266;266;Fluminense;2;2;3;2;0;0;1
2022;33;2022_33_286;286;Juventude;1;2;2;2;0;0;1
2022;33;2022_33_294;294;Coritiba;1;1;3;1;0;0;1
2022;33;2022_33_373;373;Atlético-GO;1;0;3;2;0;0;1
2022;33;2022_33_1371;1371;Cuiabá;1;2;3;4;0;0;1
2022;33;2022_33_356;356;Fortaleza;0;0;4;1;0;0;1
2022;34;2022_34_262;262;Flamengo;3;2;3;4;0;0;1
2022;34;2022_34_293;293;Athletico-PR;1;3;3;5;1;0;1
2022;34;2022_34_263;263;Botafogo;2;1;1;4;0;0;1
2022;34;2022_34_264;264;Corinthians;0;2;2;3;0;0;1
2022;34;2022_34_285;285;Internacional;2;1;0;2;0;0;1
2022;34;2022_34_290;290;Goiás;2;2;2;3;0;0;1
2022;34;2022_34_356;356;Fortaleza;3;1;1;1;0;1;1
2022;34;2022_34_276;276;São Paulo;2;1;2;4;0;1;1
2022;34;2022_34_282;282;Atlético-MG;1;0;2;1;0;0;1
2022;34;2022_34_1371;1371;Cuiabá;1;0;1;1;0;0;1
2022;35;2022_35_366;366;Ceará;0;1;2;2;1;0;1
2022;35;2022_35_263;263;Botafogo;0;2;1;1;0;0;1
2022;35;2022_35_276;276;São Paulo;2;2;3;5;0;0;1
2022;35;2022_35_293;293;Athletico-PR;3;2;2;1;0;0;1
2022;35;2022_35_327;327;América-MG;1;0;0;0;0;0;1
2022;35;2022_35_286;286;Juventude;0;1;3;4;0;0;1
2022;35;2022_35_314;314;Avaí;1;2;2;1;0;0;1
2022;35;2022_35_373;373;Atlético-GO;2;3;3;2;0;0;1
2022;35;2022_35_275;275;Palmeiras;4;0;3;1;0;0;1
2022;35;2022_35_262;262;Flamengo;1;2;0;1;0;0;1
2022;36;2022_36_277;277;Santos;1;1;3;0;0;0;1
2022;36;2022_36_266;266;Fluminense;3;1;1;1;0;1;1
2022;36;2022_36_280;280;Bragantino;1;4;6;2;0;0;1
2022;36;2022_36_290;290;Goiás;1;0;4;6;0;0;1
2022;36;2022_36_264;264;Corinthians;1;0;4;4;0;0;1
2022;36;2022_36_285;285;Internacional;2;0;0;1;0;1;1
2022;36;2022_36_356;356;Fortaleza;1;1;2;5;0;1;1
2022;36;2022_36_294;294;Coritiba;1;0;5;3;0;0;1
