temporada_id;rodada_id;clube_id;partida_id;atleta_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod;atleta_pontos
2021;26;315;202126315;37424;6;7;6,7;0,13;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;23;44;1;13;23;20;3;34;44;1;13;23;20;3;0
2021;27;315;202127315;37424;6;7;6,56;-0,14;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;24;46;0;13;24;20;3;35;46;0;13;24;20;3;0
2021;28;315;202128315;37424;6;7;6,49;-0,07;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;24;49;0;13;24;20;2;32;49;0;13;24;20;2;0
2021;1;286;20211286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;2;9;1;2;2;1;1;2;9;1;0
2021;2;286;20212286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;5;0;1;2;15;1;4;5;0;1;2;15;1;0
2021;3;286;20213286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;2;2;15;2;3;5;1;2;2;15;2;0
2021;4;286;20214286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;8;0;2;2;17;2;7;8;0;2;2;17;2;0
2021;5;286;20215286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;8;3;5;3;14;5;3;8;3;5;3;14;5;0
2021;6;286;20216286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;9;1;6;4;15;5;2;9;1;6;4;15;5;0
2021;7;286;20217286;37674;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;9;3;9;5;14;8;11;9;3;9;5;14;8;0
