temporada_id;atleta_id;rodada_id;clube_id;posicao_id;status_id;atleta_preco;atleta_var;atleta_jogos;SC_G;SC_DP;SC_SG;SC_A;SC_FT;SC_FD;SC_DS;SC_PS;SC_DE;SC_V;SC_FF;SC_FS;SC_PP;SC_GC;SC_CV;SC_CA;SC_GS;SC_PC;SC_FC;SC_I;atleta_pontos;atleta_pt_acum;atleta_pt_med;clube_mand;clube_gol_pro;clube_gol_cont;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod
2023;38229;18;264;2;7;6,36;2,58;11;8;0;0;5;0;0;1,2;0;0;0;0;0,5;0;0;0;0;0;0;0;0;14,7;37,1;3,37;0;2;2;17;20;1;17;-3;16;9;16;20;1;16;-4;14;3
2023;38229;19;264;2;7;4,36;-0,2;12;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0,5;37,6;3,13;1;3;1;20;21;3;20;-1;12;9;18;36;0;18;-18;19;4
2023;38229;20;264;2;6;4,36;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,6;3,13;0;1;1;21;22;1;21;-1;12;9;20;17;1;20;3;12;3
2023;38279;1;327;5;2;5,74;-0,26;1;0;0;0;0;0;0;0;0;0;0;3,2;0;0;0;0;0;0;0;-0,3;0;2,9;2,9;2,9;1;0;3;0;3;0;0;-3;20;0;3;0;3;3;3;5;3
2023;38279;2;327;5;6;4,57;-1,17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;1,45;0;0;3;0;6;0;0;-6;20;0;4;2;3;4;2;11;3
2023;38279;3;327;5;6;4,57;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;1,45;0;2;3;2;9;0;2;-7;19;0;3;3;3;3;0;17;4
2023;38279;4;327;5;6;4,57;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;1,45;1;1;2;3;11;0;3;-8;19;0;5;6;3;5;-1;10;4
2023;38279;5;327;5;6;4,57;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;1,45;0;2;2;5;13;1;5;-8;17;1;8;10;1;8;-2;6;6
2023;38279;6;327;5;6;3,58;-0,99;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,97;1;0;4;5;17;0;5;-12;19;1;11;5;3;11;6;12;12
2023;38279;7;327;5;6;3,58;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0,97;1;2;1;7;18;3;7;-11;15;4;10;6;0;10;4;8;6
